MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err
54325.01620357174	8.13290306967053e-15	6.510122785015329e-16	2.0354027183750903e-15	3.457673539153465e-17	3.7134283703222524e-15	1.2429217714944853e-16	nan	nan	5.786667678934263e-15	1.8735825565293674e-16	nan	nan	nan	nan
54325.06620357174	8.266696616772719e-15	6.479947838186612e-16	2.067875279797586e-15	3.4369803632098886e-17	3.77830100071298e-15	1.2357728153244556e-16	nan	nan	5.881244008813104e-15	1.8790538572648271e-16	nan	nan	nan	nan
54325.11620357174	8.401385313747311e-15	6.449620492241713e-16	2.100542211231529e-15	3.4163868419979877e-17	3.8435348686612765e-15	1.2285707195772037e-16	nan	nan	5.976420322120737e-15	1.884035653860281e-16	nan	nan	nan	nan
54325.166203571745	8.53696521712749e-15	6.419068914604041e-16	2.1334034138748446e-15	3.395980186833167e-17	3.9091333259377835e-15	1.2213192011411588e-16	nan	nan	6.072197086501472e-15	1.8885214438974417e-16	nan	nan	nan	nan
54325.21620357175	8.673431230409223e-15	6.388114762689275e-16	2.166458206541885e-15	3.37569111191653e-17	3.975098977061534e-15	1.2140151239762184e-16	nan	nan	6.168574770697794e-15	1.892505593230772e-16	nan	nan	nan	nan
54325.26620357175	8.810778314065938e-15	6.356600808353906e-16	2.1997057677730673e-15	3.3554195237664754e-17	4.04143405059464e-15	1.206652507285894e-16	nan	nan	6.2655538445316015e-15	1.8959833648234248e-16	nan	nan	nan	nan
54325.316203571754	8.949001494995008e-15	6.324394874091308e-16	2.233145276539752e-15	3.33507624512258e-17	4.108140772873873e-15	1.199226589852321e-16	nan	nan	6.3631347789000925e-15	1.898950944536949e-16	nan	nan	nan	nan
54325.36620357176	9.0880958656753e-15	6.291392168362196e-16	2.2667759122315034e-15	3.314584987954492e-17	4.1752213708419644e-15	1.1917339002690965e-16	nan	nan	6.461318045796579e-15	1.9014054622660729e-16	nan	nan	nan	nan
54325.41620357176	9.228056583332657e-15	6.257517083244978e-16	2.3005968546585302e-15	3.293884099557567e-17	4.242678072123353e-15	1.1841722919374399e-16	nan	nan	6.560104118315064e-15	1.9033450105990718e-16	nan	nan	nan	nan
54325.46620357176	9.368878869108611e-15	6.222724456452879e-16	2.334607284055703e-15	3.272928085141723e-17	4.3105131049118725e-15	1.1765409733860843e-16	nan	nan	6.6594934706040314e-15	1.9047686597905888e-16	nan	nan	nan	nan
