MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55271.15000000027	nan	nan	nan	nan	3.3358056849008535e-16	2.5011358104569132e-17	5.278004488531929e-16	1.885301651828837e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55271.20000000027	nan	nan	nan	nan	3.399609884814486e-16	2.456500798244231e-17	5.36302799408804e-16	1.9023595093531585e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55271.25000000028	nan	nan	nan	nan	3.4645599291548855e-16	2.4124418817706585e-17	5.448304854444319e-16	1.91961370657759e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55271.30000000028	nan	nan	nan	nan	3.5306233293024906e-16	2.3689794079975678e-17	5.53383050763062e-16	1.9370730257854633e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55271.35000000028	nan	nan	nan	nan	3.597767640029552e-16	2.326152009623024e-17	5.619600393179669e-16	1.9547485920328385e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55271.400000000285	nan	nan	nan	nan	3.6659604581676425e-16	2.2840190608287743e-17	5.705609952091145e-16	1.972653661437613e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55271.45000000029	nan	nan	nan	nan	3.7351694212772447e-16	2.2426627646937927e-17	5.791854616553047e-16	1.990803175296883e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55271.50000000029	nan	nan	nan	nan	3.805360101029455e-16	2.202180361850229e-17	5.878329421712893e-16	2.0092057533437422e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55271.550000000294	nan	nan	nan	nan	3.876489685913659e-16	2.1626572934770344e-17	5.965028634852075e-16	2.027858369479259e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55271.6000000003	nan	nan	nan	nan	3.9485132953654984e-16	2.1241973827665547e-17	6.0519446301574125e-16	2.0467383498646158e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
