MJD,Mag,Mag_err,band,Instr
56522.124,16.176,0.033,sdss_z',LCOGT
56523.21,18.7,0.06,Bessell_B,Nickel
56523.21,16.27,0.01,Bessell_I,Nickel
56523.21,16.88,0.02,Bessell_R,Nickel
56523.21,17.49,0.03,Bessell_V,Nickel
56524.033,18.484,0.064,Bessell_B,LCOGT
56524.039,17.507,0.033,Bessell_V,LCOGT
56524.043,16.853,0.018,Bessell_R,LCOGT
56524.046,16.273,0.064,Bessell_I,LCOGT
56525.116,18.072,0.053,sdss_g',LCOGT
56525.122,17.243,0.03,sdss_r',LCOGT
56525.125,17.049,0.031,sdss_i',LCOGT
56525.129,16.155,0.034,sdss_z',LCOGT
56526.4,17.516,0.025,Bessell_V,LCOGT
56526.403,16.907,0.021,Bessell_R,LCOGT
56526.407,16.298,0.043,Bessell_I,LCOGT
56526.411,18.082,0.073,sdss_g',LCOGT
56526.42,17.09,0.101,sdss_i',LCOGT
56526.425,16.158,0.069,sdss_z',LCOGT
56528.16,17.051,0.01,sdss_i',P60
56528.161,17.302,0.01,sdss_r',P60
56528.162,18.155,0.01,sdss_g',P60
56528.382,18.619,0.051,Bessell_B,LCOGT
56528.388,17.591,0.021,Bessell_V,LCOGT
56528.391,17.044,0.021,Bessell_R,LCOGT
56528.394,16.405,0.026,Bessell_I,LCOGT
56528.405,18.046,0.013,sdss_g',LCOGT
56528.411,17.322,0.012,sdss_r',LCOGT
56528.415,17.055,0.012,sdss_i',LCOGT
56528.418,16.248,0.025,sdss_z',LCOGT
56528.97,18.596,0.046,Bessell_B,LCOGT
56528.976,17.627,0.016,Bessell_V,LCOGT
56528.976,17.324,0.014,sdss_r',LCOGT
56528.979,17.125,0.024,sdss_i',LCOGT
56528.98,17.031,0.021,Bessell_R,LCOGT
56529.008,18.095,0.05,sdss_g',LCOGT
56529.025,17.604,0.021,Bessell_V,LCOGT
56529.028,17.058,0.014,Bessell_R,LCOGT
